1:10001-20000	28(30),	7(7)
1:670001-680000	5(5),	0(0)
1:209680001-209690000	0(0),	2(3)
1:249230001-249240000	12(12),	4(4)
1:249240001-249250000	6(6),	9(10)
2:182140001-182150000	1(1),	0(0)
2:243150001-243160000	5(5),	2(2)
3:57820001-57830000	0(0),	3(3)
3:197900001-197910000	8(8),	5(5)
4:10001-20000	4(4),	9(22)
4:20001-30000	1(3),	1(1)
4:191040001-191050000	11(11),	50(63)
5:10001-20000	210(251),	69(106)
5:20001-30000	0(0),	4(4)
5:114610001-114620000	0(0),	2(5)
6:140001-150000	4(4),	2(2)
7:10001-20000	6(6),	1(1)
7:159120001-159130000	7(9),	0(0)
8:150001-160000	0(0),	3(3)
8:146300001-146310000	5(5),	0(0)
9:10001-20000	4(4),	4(5)
9:141120001-141130000	3(3),	4(4)
10:135520001-135530000	7(7),	0(0)
11:170001-180000	3(3),	0(0)
11:190001-200000	5(5),	0(0)
11:134940001-134950000	7(7),	0(0)
12:90001-100000	11(11),	64(69)
12:133840001-133850000	6(11),	61(71)
15:33640001-33650000	0(0),	4(4)
15:102520001-102530000	3(3),	19(20)
16:60001-70000	0(0),	4(4)
16:90180001-90190000	0(0),	2(2)
18:10001-20000	8(8),	2(3)
18:60001-70000	0(0),	6(13)
18:100001-110000	0(0),	2(2)
18:78010001-78020000	1(1),	3(3)
19:240001-250000	5(5),	0(0)
19:59110001-59120000	10(33),	11(19)
20:62910001-62920000	2(2),	0(0)
21:39200001-39210000	0(0),	1(1)
21:48110001-48120000	3(3),	0(0)
GL000227.1:70001-80000	5(6),	2(2)
GL000228.1:120001-130000	3(3),	0(0)
hs37d5:6740001-6750000	32(32),	19(21)
hs37d5:10060001-10070000	16(18),	3(3)
X:155250001-155260000	3(3),	0(0)
X:155260001-155270000	30(37),	99(129)
