sample ,population,chromosome,rawGenomicCount
HG00096,GBR,chr1,24
HG00096,GBR,chr2,4
HG00096,GBR,chr3,2
HG00096,GBR,chr4,11
HG00096,GBR,chr5,51
HG00096,GBR,chr6,3
HG00096,GBR,chr7,8
HG00096,GBR,chr8,
HG00096,GBR,chr9,3
HG00096,GBR,chr10,3
HG00096,GBR,chr11,4
HG00096,GBR,chr12,13
HG00096,GBR,chr13,
HG00096,GBR,chr14,
HG00096,GBR,chr15,6
HG00096,GBR,chr16,
HG00096,GBR,chr17,1
HG00096,GBR,chr18,7
HG00096,GBR,chr19,5
HG00096,GBR,chr20,8
HG00096,GBR,chr21,3
HG00096,GBR,chr22,1
HG00097,GBR,chr1,44
HG00097,GBR,chr2,10
HG00097,GBR,chr3,4
HG00097,GBR,chr4,33
HG00097,GBR,chr5,110
HG00097,GBR,chr6,2
HG00097,GBR,chr7,15
HG00097,GBR,chr8,
HG00097,GBR,chr9,2
HG00097,GBR,chr10,9
HG00097,GBR,chr11,
HG00097,GBR,chr12,59
HG00097,GBR,chr13,1
HG00097,GBR,chr14,
HG00097,GBR,chr15,9
HG00097,GBR,chr16,4
HG00097,GBR,chr17,1
HG00097,GBR,chr18,11
HG00097,GBR,chr19,5
HG00097,GBR,chr20,3
HG00097,GBR,chr21,5
HG00097,GBR,chr22,
HG00099,GBR,chr1,27
HG00099,GBR,chr2,3
HG00099,GBR,chr3,1
HG00099,GBR,chr4,29
HG00099,GBR,chr5,127
HG00099,GBR,chr6,2
HG00099,GBR,chr7,17
HG00099,GBR,chr8,1
HG00099,GBR,chr9,4
HG00099,GBR,chr10,5
HG00099,GBR,chr11,4
HG00099,GBR,chr12,34
HG00099,GBR,chr13,
HG00099,GBR,chr14,1
HG00099,GBR,chr15,7
HG00099,GBR,chr16,
HG00099,GBR,chr17,
HG00099,GBR,chr18,11
HG00099,GBR,chr19,4
HG00099,GBR,chr20,1
HG00099,GBR,chr21,7
HG00099,GBR,chr22,
HG00100,GBR,chr1,158
HG00100,GBR,chr2,26
HG00100,GBR,chr3,11
HG00100,GBR,chr4,85
HG00100,GBR,chr5,1006
HG00100,GBR,chr6,6
HG00100,GBR,chr7,41
HG00100,GBR,chr8,7
HG00100,GBR,chr9,9
HG00100,GBR,chr10,24
HG00100,GBR,chr11,7
HG00100,GBR,chr12,285
HG00100,GBR,chr13,
HG00100,GBR,chr14,1
HG00100,GBR,chr15,31
HG00100,GBR,chr16,9
HG00100,GBR,chr17,4
HG00100,GBR,chr18,32
HG00100,GBR,chr19,21
HG00100,GBR,chr20,11
HG00100,GBR,chr21,40
HG00100,GBR,chr22,2
HG00101,GBR,chr1,31
HG00101,GBR,chr2,3
